k,a_mm,a_over_D,is_valid
0.639297658862876,0.586264948979562,0.0615824526239036,1
0.64257525083612,0.587797067880316,0.0617433894832265,1
0.645852842809365,0.589345343648077,0.061906023492445,1
0.649130434782609,0.590910102881491,0.0620703889581399,1
0.652408026755853,0.592491682185086,0.0622365212379292,1
0.655685618729097,0.594090428572541,0.0624044567828299,1
0.658963210702341,0.595706699890262,0.0625742331817502,1
0.662240802675585,0.59734086526249,0.0627458892082447,1
0.665518394648829,0.598993305559244,0.0629194648696685,1
0.668795986622074,0.600664413888524,0.0630950014588786,1
0.672073578595318,0.602354596114275,0.0632725416086423,1
0.675351170568562,0.60406427140173,0.0634521293489212,1
0.678628762541806,0.605793872791886,0.0636338101672149,1
0.68190635451505,0.607543847806968,0.0638176310721605,1
0.685183946488294,0.609314659088896,0.0640036406605984,1
0.688461538461538,0.611106785072931,0.0641918891883331,1
0.691739130434783,0.612920720698803,0.0643824286448322,1
0.695016722408027,0.614756978161859,0.0645753128321281,1
0.698294314381271,0.616616087706927,0.0647705974482066,1
0.701571906354515,0.618498598467811,0.0649683401751902,1
0.704849498327759,0.62040507935559,0.065168600772646,1
0.708127090301003,0.622336119999123,0.0653714411763785,1
0.711404682274247,0.624292331741456,0.0655769256030942,1
0.714682274247492,0.626274348696132,0.0657851206613584,1
0.717959866220736,0.628282828867737,0.0659960954693001,1
0.72123745819398,0.630318455341394,0.0662099217795582,1
0.724515050167224,0.632381937546298,0.0664266741120061,1
0.727792642140468,0.63447401259886,0.0666464298948382,1
0.731070234113712,0.636595446731487,0.066869269614652,1
0.734347826086956,0.638747036813595,0.067095276976218,1
0.737625418060201,0.640929611972004,0.0673245390726895,1
0.740903010033445,0.643144035318565,0.0675571465670762,1
0.744180602006689,0.64539120579356,0.0677931938858782,1
0.747458193979933,0.647672060134228,0.0680327794258643,1
0.750735785953177,0.649987574978664,0.0682760057750698,1
0.754013377926421,0.652338769116313,0.0685229799491925,1
